text,count
taps,3
nose,2
transfixed,2
workin,1
seem,2
goin,2
fishes,1
lesbian,1
found,5
jared,1
leto,1
drawers,1
harboring,1
tendencies,1
kind,2
ones,3
knows,3
dip,1
smokes,1
furiously,1
notes,1
else,6
partial,2
dive,1
bar,8
deviant,1
cronies,1
hears,1
commotion,1
lou,3
bouncer,2
midst,1
throwing,1
reluctantly,1
guides,1
sips,1
retrieved,2
certain,1
information,2
helpful,1
piece,1
paper,1
drinking,2
alcohol,1
hates,3
smokers,1
lung,1
cancer,1
issue,1
uncle,1
dead,2
telling,1
spits,1
smoker,1
met,1
silence,3
smacks,3
wasn,4
feminist,2
prose,1
stinky,1
indie,2
persuasion,1
noodles,1
chicks,1
instruments,1
club,13
skunk,6
gigglepuss,9
playing,2
tomorrow,2
assail,1
ears,1
band,10
groans,2
also,2
recent,1
cd,1
purchases,1
courtesy,1
american,1
express,2
illegally,1
finger,1
lips,5
simply,2
alternative,1
law,1
allows,1
likin,1
blares,2
minimalist,1
decor,1
splashed,1
flyers,1
dance,9
apply,1
interrupting,1
turn,5
screaming,1
menstrual,1
bitches,2
study,4
move,1
stereo,1
volume,1
shoots,2
glare,1
excited,1
becoming,1
disappointed,3
bothering,1
freak,2
suck,1
bat,1
happy,4
neon,1
sprays,1
mist,1
below,2
foyer,2
nervously,3
pulling,1
fake,1
id,1
giant,1
afroed,1
bruce,16
typically,1
mono,1
syllabic,1
whispering,2
shiny,1
ids,2
gently,1
moves,3
described,1
victoria,1
secret,1
bet,1
sticks,1
chest,2
licks,1
hither,1
winks,1
sashays,1
clatters,1
frisking,1
badly,1
mowhawked,1
pierced,1
switchblade,1
pocket,2
bic,1
skippy,2
bottle,2
opener,1
shake,1
pleasure,2
brucie,1
pegged,1
fan,7
pre,1
teen,1
belly,4
ring,1
minors,1
tall,1
decent,1
body,3
kinda,1
short,2
undersexed,1
sent,2
em,2
happened,2
brought,1
last,8
snake,2
laughs,3
onstage,1
female,1
parlaying,1
sass,1
ripping,1
near,3
stage,4
mass,1
pogo,1
ing,1
bellies,1
finishes,2
song,12
lead,2
singer,2
olympia,1
audience,1
scream,2
pet,1
kitty,1
meow,1
rev,1
sweat,2
opening,3
chords,1
glee,2
begin,1
couldn,2
signals,2
bartender,6
bouncing,1
surge,1
spots,6
singing,4
along,1
pov,1
gleeful,2
dancing,4
ease,2
none,2
usual,2
attitude,1
definitely,1
attracted,1
shouting,2
agua,1
made,2
waiting,5
sneaks,1
despite,2
miffed,1
waters,1
absorbed,1
scowls,1
bottled,1
water,4
forgetting,1
fooling,1
huh,3
planning,2
excuse,4
gesturing,1
sort,1
ruining,2
steams,1
surrounded,2
quit,2
attempt,2
bikini,1
raincoats,2
taken,1
aback,1
advantage,1
brushes,1
ear,3
watched,1
brushing,1
touched,1
cheeks,2
pinken,1
cocky,1
flash,4
forgot,1
rick,1
tosses,2
bills,2
motive,2
nine,2
gotten,1
saying,1
files,1
amongst,2
walking,6
coasts,1
gears,1
grind,1
yells,1
window,10
cares,1
importun,1
honourable,1
fashion,1
glances,4
sharply,2
cruella,1
favor,2
march,1
washington,1
pokes,1
dreamily,1
witness,1
rebirth,1
links,1
true,2
almost,2
wear,3
kenneth,1
coles,1
mixing,1
genres,1
quoting,1
meant,2
expectantly,1
dingo,1
boingo,1
helpin,1
bathes,1
together,2
lying,1
gig,2
twisting,1
heavily,1
invested,1
higher,1
measure,1
appointment,1
annoyed,2
escorts,2
demented,1
horror,1
dear,1
truly,2
earth,1
lights,1
illuminating,1
yard,2
upstairs,1
blaring,2
living,5
carpet,1
sneak,1
teddy,1
bear,1
purses,1
kitchen,11
rustling,1
freeze,1
mile,1
statues,1
jumps,3
must,1
attempting,2
otherwise,1
orgy,1
knew,3
forbid,1
gloria,1
steinem,1
walkman,1
comes,3
downstairs,1
tee,1
levis,1
relaxing,1
times,1
sexier,1
wanders,1
directs,1
shrugs,3
apple,1
ablaze,1
prozac,2
earphones,1
wretched,1
clouted,1
fen,1
sucked,1
hedge,1
obsess,1
goddamn,1
thrilled,1
burst,1
screams,1
startled,1
clutches,1
protective,1
hug,4
starting,1
dazed,1
cupboard,1
padded,1
faux,2
pregnancy,1
weight,2
hangs,1
mortified,2
unbalanced,1
scanned,1
http,2
freemoviescripts,1
com,1
formatting,1
simplyscripts,1
att,1
net,1
promise,1
present,1
stomps,2
sweater,1
coat,2
flings,1
shock,1
early,1
peeks,2
knocked,1
mba,1
tux,6
greets,1
guests,1
pro,1
handing,1
cigars,1
martinis,1
martini,1
filled,1
capacity,1
finest,1
lines,1
amid,1
whooping,1
hollering,1
within,1
doorway,2
tonight,3
pussy,1
forehead,2
wait,3
hairline,1
recede,1
panics,1
whipping,1
handy,1
shows,1
utter,1
hatred,2
smirking,1
ruckus,1
fight,1
rush,2
splash,1
cupfuls,1
guinea,1
peaberry,1
folger,1
crystals,1
slurping,1
buttwipe,1
caffeinated,1
fists,1
fly,1
slithers,1
giving,1
keeps,5
ignoring,2
pouring,1
downs,3
accepts,1
drink,3
mocking,2
trashed,1
funny,2
schmoozee,1
attendance,1
dishes,1
dirt,1
simultaneously,1
fiving,2
moose,1
ranked,1
fifth,1
recruiters,1
intently,1
yo,1
clem,7
patsy,1
cline,1
leanne,1
rimes,1
swagger,1
ziggy,1
prefers,1
pipe,1
bong,1
skirmish,1
cranes,1
neck,3
evening,1
graces,1
pained,2
share,2
art,1
instructor,1
certainly,1
pabst,1
milwaukee,1
raijieer,1
tense,1
surprise,4
waist,1
carries,2
returns,2
complete,2
napkin,1
straw,1
jealous,1
fury,1
extremely,1
unfortunate,1
maneuver,1
buttholus,1
extremus,1
progress,1
pats,1
aware,1
rastas,4
drunken,5
shot,5
sheriff,2
glass,2
scar,1
inebriated,1
enraptured,1
meets,1
sears,1
catalog,1
queen,2
harry,2
gay,1
cruise,1
uniform,1
appear,1
impressed,2
difficult,1
neat,1
agent,1
prada,1
escape,2
sigh,2
applies,1
lip,2
gloss,1
proposed,1
dermatologist,1
dr,2
bonchowski,1
relevant,1
oily,1
dry,1
combination,1
rolls,3
highlights,1
include,1
holding,6
sometimes,2
wonder,1
private,1
knock,4
advice,2
fierce,1
refusal,1
distracting,1
task,1
breaks,5
dives,1
dining,3
deal,5
act,3
human,1
island,2
loose,1
flying,1
burlesque,1
form,2
clapping,1
cheering,1
banging,1
copper,1
hanging,2
center,1
sway,2
clap,2
wonderful,1
finale,2
push,1
staggers,1
bracing,1
lie,6
awhile,2
concussion,2
dog,1
woke,2
vegetable,1
difference,1
floor,5
awake,1
slides,1
struggles,2
h,1
oblivious,2
unsure,2
patronizing,1
words,1
shitfaced,1
taking,10
needs,2
affection,1
blind,1
swingset,1
plops,1
swing,4
moving,1
chains,2
backward,1
weeble,1
pushing,1
entertained,1
mainline,1
tequila,1
laid,1
asleep,1
resting,1
drags,3
loudly,1
jingle,2
bells,1
belles,1
wake,2
damn,3
slide,2
rag,1
doll,1
waking,1
sighs,2
relief,1
meaningful,1
pukes,1
swig,1
smuggest,1
possible,1
taste,1
totally,1
apeshit,1
driver,1
ignition,1
loiter,1
lawn,4
catches,2
bunch,1
jaret,1
eagerly,1
til,1
astonished,1
accusatory,1
tons,1
